Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Shingeki no kyojin,2013,"Animation,Action,Adventure",Series,9.0,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",242582,24,75470000.0
Suits,2011,"Comedy,Drama",Series,8.4,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",374263,44,75470000.0
La casa de papel,2017,"Action,Crime,Mystery",Series,8.3,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",341858,70,75470000.0
Schitt's Creek,2015,Comedy,Series,8.5,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy",90728,22,75470000.0
Outlander,2014,"Drama,Fantasy,Romance",Series,8.4,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",134991,64,75470000.0
The Last Kingdom,2015,"Action,Drama,History",Series,8.4,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",94650,60,75470000.0
Black Mirror,2011,"Drama,Sci-Fi,Thriller",Series,8.8,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",469407,60,75470000.0
Ozark,2017,"Crime,Drama,Thriller",Series,8.4,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",206090,60,75470000.0
The Crown,2016,"Biography,Drama,History",Series,8.6,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",169517,58,75470000.0
Sweet Tooth,2021,"Action,Adventure,Drama",Series,7.9,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen",37142,148,75470000.0
Army of the Dead,2021,"Action,Crime,Horror",Regular,5.8,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick, Zack Snyder",132378,148,75470000.0
Fargo,2014,"Crime,Drama,Thriller",Series,8.9,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",341221,53,75470000.0
How I Met Your Mother,2005,"Comedy,Romance",Series,8.3,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",624036,22,75470000.0
Community,2009,Comedy,Series,8.5,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",231013,22,75470000.0
Sons of Anarchy,2008,"Crime,Drama,Thriller",Series,8.5,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",270445,45,75470000.0
StartUp,2016,"Crime,Thriller",Series,7.9,"Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",22971,44,75470000.0
