Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Kate,2021,"Action,Adventure,Crime",Regular,5.2,"Mary Elizabeth Winstead, Woody Harrelson, Michiel Huisman, Tadanobu Asano, Cedric Nicolas-Troyan",16358,106,1510000.0
Ibiza,2018,"Comedy,Romance",Regular,5.2,"Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins, Phoebe Robinson, Alex Richanbach",16358,94,1510000.0
Boss,2011,"Crime,Drama",Series,8.1,"Kelsey Grammer, Connie Nielsen, Hannah Ware, Jeff Hephner",17281,56,1510000.0
Message from the King,2016,"Action,Crime,Drama",Regular,6.4,"Chadwick Boseman, Luke Evans, Alfred Molina, Teresa Palmer, Fabrice du Welz",15158,102,1510000.0
The Prince,2014,"Action,Thriller",Regular,4.6,"Jason Patric, Bruce Willis, John Cusack, Jessica Lowndes, Brian A. Miller",17952,93,1510000.0
Day of the Dead: Bloodline,2017,"Action,Drama,Horror",Regular,3.4,"Sophie Skelton, Johnathon Schaech, Jeff Gum, Marcus Vanco, Hèctor Hernández Vicens",10173,90,1510000.0
The Kindergarten Teacher,2018,"Drama,Thriller",Regular,6.7,"Maggie Gyllenhaal, Gael García Bernal, Ato Blankson-Wood, Libya Pugh, Sara Colangelo",13946,96,1510000.0
Father of the Year,2018,Comedy,Regular,5.2,"David Spade, Nat Faxon, Joey Bragg, Matt Shively, Tyler Spindel",10647,94,1510000.0
W - Du gaeui segye,2016,"Drama,Fantasy,Romance",Regular,8.1,"Han Hyo-joo, Lee Jong-Suk, Jeong Eu-Gene, Eui-sung Kim",7644,60,1510000.0
Final Girl,2015,"Horror,Thriller",Regular,4.7,"Abigail Breslin, Wes Bentley, Logan Huffman, Alexander Ludwig, Tyler Shields",15269,84,1510000.0
Spooks: The Greater Good,2015,"Action,Drama,Thriller",Regular,6.2,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman, Bharat Nalluri",21963,104,1510000.0
El caso Wanninkhof-Carabantes,2021,"Documentary,Crime,History",Regular,6.5,Tània Balló,1357,88,1510000.0
W/ Bob and David,2015,Comedy,Regular,7.4,"David Cross, Bob Odenkirk, John Ennis, Jay Johnston",3941,30,1510000.0
Kaguya-hime no monogatari,2013,"Animation,Adventure,Drama",Regular,8.0,"Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden, Isao Takahata",41510,137,1510000.0
Two Distant Strangers,2020,"Short,Drama,Sci-Fi",Regular,6.9,"Joey Bada$$, Andrew Howard, Zaria, Mona Sishodia",12375,32,1600000.0
See You Yesterday,2019,"Action,Adventure,Crime",Regular,5.2,"Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake, Stefon Bristol",10004,84,1600000.0
ARQ,2016,"Action,Sci-Fi,Thriller",Regular,6.4,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Tony Elliott",36715,88,1600000.0
Dumbo,1941,"Animation,Adventure,Drama",Regular,7.2,"Sterling Holloway, Edward Brophy, Herman Bing, Mel Blanc",124409,64,1600000.0
Yankee,2019,Drama,Series,5.9,"Pablo Lyle, Ana Layevska, Pamela Almanza, Sebastián Ferrat",566,40,1340000.0
Resident Evil,2021,"Action,Horror,Sci-Fi",Regular,7.0,"Lance Reddick, Siena Agudong, Ella Balinska, Rizelle Januk",1669,43,1340000.0
Elite Short Stories: Carla Samuel,2021,"Short,Drama,Romance",Regular,7.0,"Itzan Escamilla, Ester Expósito, Carlota Casado, Ion Iraizoz",1669,43,1340000.0
Owari No Seraph,2015,"Animation,Action,Adventure",Regular,7.5,"Miyu Irino, Micah Solusod, Saori Hayami, Nobuhiko Okamoto",4197,24,1340000.0
1899,2022,"Drama,History,Horror",Series,7.7,"Aneurin Barnard, Miguel Bernardeau, Jonas Bloquet, Rosalie Craig",58668,108,1340000.0
Le Petit Prince,2015,"Animation,Adventure,Drama",Regular,7.7,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard, Mark Osborne",58668,108,1340000.0
Love is Blind: After the Altar,2021,Reality-TV,Series,5.4,no value,39,45,700000.0
Tell Me Who I Am,2019,"Documentary,Drama,Mystery",Regular,7.6,"Andrew Caley, Alex Lewis, Marcus Lewis, Evan Milton, Ed Perkins",12328,86,700000.0
Anazâ,2012,"Animation,Drama,Horror",Regular,7.6,"Atsushi Abe, Natsumi Takamori, Tomoaki Maeno, Greg Ayres",12437,300,700000.0
Operation Buffalo,2020,"Adventure,Comedy,Drama",Regular,6.6,"Ewen Leslie, Jessica De Gouw, James Cromwell, Tony Martin",551,52,700000.0
Tangerine,2015,"Comedy,Crime,Drama",Regular,7.1,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan, Sean Baker",28651,88,700000.0
Le chalet,2017,"Drama,Mystery,Thriller",Series,7.0,"Chloé Lambert, Philippe Dusseau, Blanche Veisberg, Eric Savin",6352,52,26180000.0
Great Pretender,2020,"Animation,Action,Adventure",Series,8.0,"Wolf Williams, Alan Lee, Aaron Phillips, Kausar Mohammed",3419,23,26180000.0
"Love, Guaranteed",2020,"Comedy,Romance",Regular,5.6,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Mark Steven Johnson",15183,90,26180000.0
Sandy Wexler,2017,Comedy,Regular,5.2,"Adam Sandler, Jennifer Hudson, Kevin James, Colin Quinn, Steven Brill",15619,130,26180000.0
Raat Akeli Hai,2020,"Crime,Drama,Mystery",Regular,7.3,"Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav, Padmavati Rao, Honey Trehan",16281,149,26180000.0
Bitter Daisies,2018,"Drama,Thriller",Series,7.2,"Manolo Cortés, María Mera, Toni Salgado, Miquel Insua",2864,70,26180000.0
The Starling,2021,"Comedy,Drama,Fantasy",Regular,5.6,"Timothy Olyphant, Melissa McCarthy, Veronica Falcón, Skyler Gisondo, Theodore Melfi",32250,102,26180000.0
Survivor,2015,"Action,Crime,Thriller",Regular,5.6,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace, James McTeigue",32250,96,26180000.0
Top Chef,2006,"Game-Show,Reality-TV",Series,7.6,"Tom Colicchio, Padma Lakshmi, Gail Simmons, Richard Blais",5774,44,26180000.0
A Man Apart,2003,"Action,Crime,Drama",Regular,6.1,"Vin Diesel, Timothy Olyphant, Larenz Tate, Geno Silva, F. Gary Gray",46040,109,26180000.0
Znaki,2018,"Crime,Thriller",Series,6.3,"Andrzej Konopka, Helena Sujecka, Jen Fiskum, Magdalena Zak",1300,24,1160000.0
Love Hard,2021,"Comedy,Romance",Regular,6.8,"Darren Barnet, Rebecca Staab, Nina Dobrev, Mikaela Hoover, Hernan Jimenez",4953,24,1160000.0
Beruseruku,2016,"Animation,Action,Drama",Series,6.8,"Erik Scott Kimerer, Max Mittelman, Sarah Anne Williams, Hiroaki Iwanaga",4953,24,1160000.0
Romeo & Juliet,2013,"Drama,Romance",Regular,5.8,"Hailee Steinfeld, Douglas Booth, Damian Lewis, Laura Morante, Carlo Carlei",11411,118,1160000.0
Think Like a Dog,2020,"Comedy,Drama,Family",Regular,5.2,"Megan Fox, Josh Duhamel, Gabriel Bateman, Kunal Nayyar, Gil Junger",1350,91,5700000.0
The Christmas Chronicles: Part Two,2020,"Adventure,Comedy,Family",Regular,6.0,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, Chris Columbus",24413,112,5700000.0
You Get Me,2017,"Crime,Drama,Romance",Regular,4.7,"Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier, Brent Bonacorso",12119,89,5700000.0
Aterrados,2017,Horror,Regular,6.5,"Maximiliano Ghione, Norberto Gonzalo, Elvira Onetto, George L. Lewis, Demián Rugna",12989,87,5700000.0
Edge of Fear,2018,"Action,Crime,Thriller",Regular,4.4,"Rockmond Dunbar, Zhu Zhu, Shen Lin, Robert Knepper, Bobby Roth",2652,91,5700000.0
Equinox,2020,"Drama,Fantasy,Mystery",Series,6.1,"Danica Curcic, Lars Brygmann, Karoline Hamm, Hanne Hedelund",5326,126,5700000.0
Mongol,2007,"Action,Biography,Drama",Regular,7.2,"Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun, Sergei Bodrov",45408,126,5700000.0
Yi Guyeokui Michin X,2021,"Comedy,Drama,Romance",Series,7.9,"Woo Jung, Yeon-Seo Oh, Lee Hye-Ra, Su-Hyun Lee",718,30,10640000.0
Hap and Leonard,2016,"Crime,Drama,Mystery",Series,7.7,"James Purefoy, Michael Kenneth Williams, Tiffany Mack, Cranston Johnson",7034,60,10640000.0
Bullet Head,2017,"Crime,Drama,Thriller",Regular,5.4,"Adrien Brody, Antonio Banderas, John Malkovich, Rory Culkin, Paul Solet",9317,93,10640000.0
The Gunman,2015,"Action,Crime,Thriller",Regular,5.8,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem, Pierre Morel",39993,115,10640000.0
Winx Club,2004,"Animation,Action,Adventure",Series,6.2,"Molly C. Quinn, Keke Palmer, Matt Shively, Amy Gross",5202,25,2680000.0
Odd Squad,2014,"Action,Adventure,Comedy",Series,6.5,"Millie Davis, Sean Michael Kyer, Dalila Bela, Filip Geljo",946,27,2680000.0
Chewing Gum,2015,Comedy,Series,7.7,"Michaela Coel, Danielle Walters, Robert Lonsdale, Shola Adewusi",8245,23,2680000.0
Persuasion,2022,"Drama,Romance",Regular,6.8,"Henry Golding, Richard E. Grant, Dakota Johnson, Suki Waterhouse, Carrie Cracknell",3064,30,2680000.0
Bright 2,2016,"Action,Adventure,Crime",Series,6.8,"Will Smith, Joel Edgerton",3064,30,2680000.0
Swedish Dicks,2016,"Comedy,Crime",Series,6.8,"Peter Stormare, Johan Glans, Vivian Bang, Felisha Cooper",3064,30,2680000.0
Fate/stay night: Unlimited Blade Works,2014,"Animation,Action,Fantasy",Series,8.0,"Mela Lee, Bryce Papenbrook, Noriaki Sugiyama, Kana Ueda",6739,24,2680000.0
Private Life,2018,"Comedy,Drama",Regular,7.2,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ, Tamara Jenkins",17616,123,2680000.0
The Beyond,2017,"Drama,Sci-Fi",Regular,4.9,"Jane Perry, Nigel Barber, Noeleen Comiskey, Ezra Faroque Khan, Hasraf Dulull",5839,103,2680000.0
After Porn Ends 2,2017,Documentary,Regular,5.5,"Lisa Ann, Georgina Spelvin, Darren James, Ginger Lynn, Bryce Wagoner",2512,90,2680000.0
Sierra Burgess Is a Loser,2018,"Comedy,Drama,Romance",Regular,5.8,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Ian Samuels",36624,105,2680000.0
Yu yu hakusho,1992,"Animation,Action,Adventure",Series,8.4,"Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz",12214,24,2680000.0
Ingobernable,2017,"Crime,Drama,Mystery",Series,7.1,"Kate del Castillo, Leah Allers, Eréndira Ibarra, Alberto Guerra",2858,40,2680000.0
Disjointed,2017,Comedy,Series,6.8,"Kathy Bates, Aaron Moten, Elizabeth Alderfer, Tone Bell",9330,30,2680000.0
Home Team,2018,"Comedy,Sport",Regular,8.4,"Taylor Lautner, Jackie Sandler, Kevin James, Rob Schneider",6559,30,2680000.0
Steins;Gate 0,2018,"Animation,Drama,Mystery",Regular,8.4,"J. Michael Tatum, Monica Rial, Tyson Rinehart, Cherami Leigh",6559,30,2680000.0
Kung Fury,2015,"Short,Action,Comedy",Regular,8.0,"David Sandberg, Jorma Taccone, Steven Chew, Leopold Nilsson, David Sandberg",57319,31,2680000.0
The Division,2015,"Action,Adventure,Drama",Series,6.0,"Jake Gyllenhaal, Jessica Chastain, Rawson Marshall Thurber",8647,60,2680000.0
Between,2015,"Drama,Mystery,Sci-Fi",Series,6.0,"Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac",8647,60,2680000.0
Gantz: O,2016,"Animation,Action,Drama",Regular,7.1,"Daisuke Ono, Mao Ichimichi, Tomohiro Kaku, Saori Hayami",13531,95,2680000.0
Inside Man: Most Wanted,2019,"Action,Crime,Thriller",Regular,5.6,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, M.J. Bassett",3439,105,2680000.0
Ghost Stories,2020,"Horror,Thriller",Regular,4.3,"Janhvi Kapoor, Surekha Sikri, Amruta Subhash, Vijay Varma",4750,144,2680000.0
Luckiest Girl Alive,2022,"Drama,Mystery",Regular,8.3,"Connie Britton, Mila Kunis, Chiara Aurelia, Justine Lupe, Mike Barker",21504,52,2680000.0
The Get Down,2016,"Drama,Music,Musical",Series,8.3,"Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks",21504,52,2680000.0
The Last Czars,2019,"Documentary,Drama,History",Regular,7.3,"Robert Jack, Susanna Herbert, Ben Cartwright, Oliver Dimsdale",6983,45,2680000.0
The Perfect Date,2019,"Comedy,Romance",Regular,5.8,"Noah Centineo, Laura Marano, Odiseas Georgiadis, Camila Mendes, Chris Nelson",35113,89,2680000.0
Sergio,2020,"Biography,Drama,History",Regular,6.1,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford, Greg Barker",8858,118,2680000.0
Yin-Yang Master I,2020,"Action,Drama,Fantasy",Regular,6.5,"Mark Chao, Allen Deng, Ziwen Wang, Jessie Li, Jingming Guo",4028,132,2680000.0
Comedians in Cars Getting Coffee,2012,"Animation,Comedy,Family",Series,8.1,"Jerry Seinfeld, Michael Richards, Mario Joyner, Jimmy Fallon",11473,20,2680000.0
The Keepers,2017,"Documentary,Crime,Mystery",Regular,8.1,"Gemma Hoskins, Abbie Schaub, Virginia Anzengruber, Jean Hargadon Wehner",19750,436,2680000.0
Hache,2019,"Crime,Drama,Thriller",Series,6.5,"Adriana Ugarte, Eduardo Noriega, Marc Martínez, Pep Ambròs",1368,50,2680000.0
Gokushufudo,2021,"Animation,Action,Comedy",Series,7.3,"Kenjirô Tsuda, Shizuka Itô, Kazuyuki Okitsu, Melissa Greenspan",2437,16,2680000.0
World Without End,2012,"Drama,History,Romance",Regular,7.0,"Ben Chaplin, Charlotte Riley, Nora von Waldstätten, Oliver Jackson-Cohen",8271,374,2680000.0
The Paradise,2012,Drama,Series,7.7,"Joanna Vanderham, Emun Elliott, Stephen Wight, Sonya Cassidy",10883,60,2680000.0
The Open House,2018,"Horror,Thriller",Regular,3.2,"Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins",32382,94,2680000.0
Yeokdoyojeong Gim Bokju,2016,"Comedy,Romance",Series,8.4,"Lee Song-Kyoung, Nam Joo-Hyuk, Jae-yoon Lee, Hye-Jung Cho",6035,60,2680000.0
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,"Action,Adventure,Drama",Regular,6.1,"Donnie Yen, Michelle Yeoh, Harry Shum Jr., Natasha Liu Bordizzo, Woo-Ping Yuen",18540,96,2680000.0
All Together Now,2020,Drama,Regular,6.5,"Auli'i Cravalho, Rhenzy Feliz, Justina Machado, Judy Reyes, Brett Haley",3578,92,2680000.0
Yip Man 3,2015,"Action,Biography,Drama",Regular,7.1,"Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson, Wilson Yip",51648,105,2680000.0
Mugen no jûnin,2017,"Action,Drama,Fantasy",Regular,6.8,"Takuya Kimura, Hana Sugisaki, Sôta Fukushi, Hayato Ichihara, Takashi Miike",16248,140,150000.0
Monster: The Jeffrey Dahmer Story,2022,"Biography,Crime,Drama",Series,6.4,"Evan Peters, Karen Malina White, David Barrera, Shaun J. Brown",8778,96,450000.0
Irreplaceable You,2018,"Comedy,Drama,Romance",Regular,6.4,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons, Stephanie Laing",8778,96,450000.0
Cocaine Cowboys: The Kings of Miami,2021,"Documentary,Crime,History",Regular,8.5,no value,14082,50,450000.0
Chef's Table,2015,Documentary,Series,8.5,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",14082,50,450000.0
Kal Hee,1991,"Animation,Drama,Romance",Regular,7.6,"Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka, Isao Takahata",28969,118,450000.0
First They Killed My Father,2017,"Biography,Drama,History",Regular,7.2,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Mun Kimhak, Angelina Jolie",16871,136,1040000.0
Hot Girls Wanted: Turned On,2017,Documentary,Regular,6.6,"James Rhine, Lena Anderson, James Bartholet, Lily Cade",2061,280,1040000.0
Le chant du loup,2019,"Action,Adventure,Sci-Fi",Regular,6.9,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Antonin Baudry",15211,115,1040000.0
Extracurricular,2020,"Crime,Drama",Regular,7.7,"Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su",3538,50,1040000.0
Hasta el cielo,2020,"Action,Adventure,Crime",Regular,5.6,"Miguel Herrán, Carolina Yuste, Asia Ortega, Luis Tosar, Daniel Calparsoro",2880,121,1040000.0
True Memoirs of an International Assassin,2016,"Action,Comedy,Crime",Regular,5.9,"Kevin James, Kim Coates, Maurice Compte, Zulay Henao, Jeff Wadlow",21442,98,1040000.0
Carmen Sandiego,2019,"Animation,Action,Adventure",Series,7.9,"Finn Wolfhard, Gina Rodriguez, Liam O'Brien, Abby Trott",4796,22,1040000.0
Plus/Minus,2018,"Drama,Fantasy",Series,6.5,"Luke Wilson, Lili Reinhart, Nia Long, Andrea Savage, Wanuri Kahiu",3894,24,1040000.0
The New Legends of Monkey,2018,"Action,Adventure,Comedy",Series,6.5,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel",3894,24,1040000.0
Bo Burnham: Make Happy,2016,"Comedy,Music",Regular,8.4,Bo Burnham,12350,60,1040000.0
Kahaani,2012,"Mystery,Thriller",Regular,8.1,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui, Sujoy Ghosh",59675,122,1040000.0
A Babysitter's Guide to Monster Hunting,2020,"Comedy,Family,Fantasy",Regular,5.4,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Rachel Talalay",3434,98,7920000.0
Pray Away,2021,Documentary,Regular,6.2,Kristine Stolakis,159,101,7920000.0
Haunted,2018,"Horror,Reality-TV",Series,4.7,"Vanda Chaloupková, Hana Baronová, Vojtech Hýzdal, Janek Gregor",2934,24,7920000.0
Q-Force,2021,"Animation,Action,Adventure",Series,7.0,"Gary Cole, David Harbour, Patti Harrison, Sean Hayes",4302,30,7920000.0
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,2020,"Adventure,Comedy,Mystery",Regular,7.0,"Ellie Kemper, Tituss Burgess, Carol Kane, Jane Krakowski, Claire Scanlon",4302,80,7920000.0
Arbitrage,2012,"Drama,Thriller",Regular,6.6,"Richard Gere, Susan Sarandon, Brit Marling, Tim Roth, Nicholas Jarecki",51051,107,7920000.0
A Suitable Boy,2020,"Drama,Romance",Series,5.7,"Tanya Maniktala, Ishaan Khattar, Mahira Kakkar, Danesh Razvi",4567,60,20280000.0
The Innocents,2018,"Drama,Horror,Mystery",Regular,6.3,"Sorcha Groundsell, Percelle Ascott, Guy Pearce, Jóhannes Haukur Jóhannesson",5470,60,20280000.0
Premium Rush,2012,"Action,Crime,Thriller",Regular,6.5,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Sean Kennedy, David Koepp",111533,91,20280000.0
La valla,2020,"Drama,Sci-Fi",Series,6.8,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk",2911,50,50000.0
Champions,2018,Comedy,Regular,6.1,"Anders Holm, Fortune Feimster, Andy Favreau, Josie Totah",3361,30,50000.0
Like Father,2018,"Comedy,Drama",Regular,6.1,"Kristen Bell, Danielle Davenport, Kimiko Glenn, Wynter Kullman, Lauren Miller Rogen",20183,98,50000.0
Pretend It's a City,2021,"Documentary,Biography,Comedy",Regular,8.1,"Fran Lebowitz, Martin Scorsese, Michael Alexis Palmer, Alec Baldwin",5915,203,50000.0
Ask-i Memnu,2008,"Drama,Romance",Series,7.4,"Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Hazal Kaya",12276,90,50000.0
La vita davanti a sé,2020,Drama,Regular,6.8,"Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Iosif Diego Pirvu, Edoardo Ponti",12655,94,50000.0
Yummy,2019,"Action,Comedy,Horror",Regular,5.9,"Maaike Neuville, Bart Hollanders, Benjamin Ramon, Clara Cleymans, Lars Damoiseaux",4301,88,50000.0
My Babysitter's a Vampire,2011,"Action,Comedy,Fantasy",Series,7.1,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy",3986,22,50000.0
Day Shift,2016,"Comedy,Fantasy",Regular,6.5,"Steve Howey, Jamie Foxx, Scott Adkins, Dave Franco, J.J. Perry",5016,82,50000.0
Tramps,2016,"Adventure,Romance",Regular,6.5,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia, Adam Leon",5016,82,50000.0
Unité 42,2017,"Crime,Drama,Thriller",Series,7.0,"Patrick Ridremont, Constance Gay, Tom Audenaert, Roda Fawaz",1997,52,50000.0
Why Are You Like This?,2018,Comedy,Series,6.5,"Naomi Higgins, Olivia Junkeer, Wil King, Lawrence Leung",1142,115,50000.0
Gedo senki,2006,"Animation,Adventure,Fantasy",Regular,6.4,"Timothy Dalton, Willem Dafoe, Mariska Hargitay, Jun'ichi Okada, Gorô Miyazaki",37082,115,50000.0
Gekijouban Bishoujo Senshi Sailor Moon Eternal,2021,"Animation,Action,Adventure",Regular,7.1,"Kotono Mitsuishi, Stephanie Sheh, Kate Higgins, Cristina Valenzuela, Chiaki Kon",932,160,8060000.0
Homunculus,2021,"Drama,Fantasy,Mystery",Regular,5.6,"Gô Ayano, Edward Bosco, Amber Lee Connors, Lucien Dodge, Takashi Shimizu",1819,115,8060000.0
We Have A Ghost,2006,"Adventure,Family,Horror",Regular,7.5,"David Harbour, Jennifer Coolidge, Anthony Mackie, Tig Notaro, Christopher Landon",90212,125,8060000.0
The Painted Veil,2006,"Drama,Romance",Regular,7.5,"Naomi Watts, Edward Norton, Liev Schreiber, Catherine An, John Curran",90212,125,8060000.0
Enola Holmes 2,2018,"Action,Adventure,Crime",Regular,6.5,"Millie Bobby Brown, Henry Cavill, Harry Bradbeer",20085,110,5020000.0
Beirut,2018,"Action,Crime,Drama",Regular,6.5,"Jon Hamm, Jay Potter, Khalid Benchagra, Ania Josse, Brad Anderson",20085,110,5020000.0
Teströl és lélekröl,2017,"Drama,Fantasy,Mystery",Regular,7.6,"Alexandra Borbély, Géza Morcsányi, Réka Tenki, Zoltán Schneider, Ildikó Enyedi",25551,116,1250000.0
An Interview with God,2018,"Drama,Mystery",Regular,5.8,"David Strathairn, Brenton Thwaites, Yael Grobglas, Charlbi Dean, Perry Lang",3470,97,1250000.0
Sangre en la boca,2016,"Drama,Sport",Regular,5.6,"Leonardo Sbaraglia, Eva De Dominici, Érica Bianchi, Osmar Núñez, Hernán Belón",647,97,10000.0
Luis Miguel: La Serie,2018,"Biography,Drama,History",Series,8.0,"Diego Boneta, Gabriel Nuncio, César Bordón, Cesar Santana",3695,60,10000.0
Jamtara: Sabka Number Ayega,2020,Crime,Series,7.3,"Amit Sial, Dibyendu Bhattacharya, Aksha Pardasany, Sparsh Srivastav",5236,29,10000.0
Article 15,2019,"Crime,Drama,Mystery",Regular,8.2,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Anubhav Sinha",26537,130,10000.0
Return to Sender,2015,"Drama,Thriller",Regular,5.1,"Rosamund Pike, Shiloh Fernandez, Nick Nolte, Camryn Manheim, Fouad Mikati",12670,92,10000.0
Degrassi: Next Class,2016,"Drama,Romance",Series,6.9,"Na'ku'set Gould, Amanda Arcuri, Sara Waisglass, Ehren Kassam",2876,30,10000.0
Hoops,2020,"Animation,Comedy,Sport",Regular,6.0,"Jake Johnson, Ron Funches, Cleo King, Natasha Leggero",4896,25,10000.0
Sangsogjadeul,2013,"Comedy,Drama,Romance",Regular,7.5,"Lee Min-Ho, Park Shin-Hye, Woo-bin Kim, Kim Ji-Won",8525,55,10000.0
O Vendedor de Sonhos,2016,Drama,Regular,5.8,"César Troncoso, Dan Stulbach, Dani Antunes, Nelson Baskeville",1191,98,10000.0
Players,2015,"Comedy,Romance",Regular,5.8,"Tom Ellis, Gina Rodriguez, Damon Wayans Jr., Joel Courtney, Trish Sie",19853,101,10000.0
Into the Forest,2015,"Drama,Thriller",Regular,5.8,"Elliot Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Patricia Rozema",19853,101,10000.0
Somebody Feed Phil,2018,Documentary,Series,8.3,"Phil Rosenthal, Monica Horan, Judy Gold, Julia Reed",3936,60,45020000.0
Smurfs: The Lost Village,2017,"Animation,Adventure,Comedy",Regular,6.0,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Kelly Asbury",19549,90,45020000.0
Wheelman,2017,"Action,Crime,Thriller",Regular,6.4,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt, Shea Whigham, Jeremy Rush",18749,82,1520000.0
Lethal Seduction,2015,Thriller,Regular,5.1,"Caleb Ruminer, Amanda Detmer, Dina Meyer, Brian Thomas Smith, Nancy Leopardi",824,80,1520000.0
The Other Side of the Wind,2018,Drama,Regular,6.8,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg, Orson Welles",6717,122,1520000.0
The Indian Detective,2017,"Comedy,Crime,Drama",Regular,6.5,"Russell Peters, Anupam Kher, Christina Cole, Mishqah Parthiephal",2906,44,1520000.0
El ministerio del tiempo,2015,"Adventure,Comedy,Fantasy",Series,8.2,"Cayetana Guillén Cuervo, Juan Gea, Francesca Piñón, Jaime Blanch",4623,70,1520000.0
She's Gotta Have It,2017,Comedy,Series,6.8,"DeWanda Wise, Anthony Ramos, Lyriq Bent, Cleo Anthony",4322,30,1520000.0
Girlboss,2017,Comedy,Regular,7.0,"Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso McAuley",16285,26,1520000.0
Kon-Tiki,2012,"Adventure,Biography,Drama",Regular,7.2,"Pål Sverre Hagen, Anders Baasmo Christiansen, Gustaf Skarsgård, Odd-Magnus Williamson",47166,118,1520000.0
Next Gen,2018,"Animation,Action,Adventure",Regular,6.6,"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña",15524,106,30000.0
Moesha,1996,"Comedy,Drama,Family",Series,5.8,"Brandy Norwood, William Allen Young, Marcus T. Paulk, Lamont Bentley",3430,30,30000.0
Unsolved,2018,"Biography,Crime",Series,7.9,"Josh Duhamel, Bokeem Woodbine, Wavyy Jonez, Marcc Rose",7032,60,30000.0
De nærmeste,2015,Drama,Regular,5.6,"Ine Marie Wilmann, Simon J. Berger, Anneke von der Lippe, Silje Storstein, Anne Sewitsky",1192,106,30000.0
Arifureta Shokugyou de Sekai Saikyou,2019,"Animation,Action,Adventure",Series,7.0,"Tia Lynn Ballard, Matt Shipman, AmaLee, Patrick Seitz",1613,23,30000.0
Under the Shadow,2016,"Drama,Fantasy,Horror",Regular,6.9,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Arash Marandi, Babak Anvari",25632,84,30000.0
Satsuriku no Tenshi,2018,"Animation,Adventure,Horror",Regular,6.4,"Haruka Chisuga, Meg McClain, Dallas Reid, Derick Snow",1411,24,28350000.0
A Man for All Seasons,1966,"Biography,Drama,History",Regular,7.7,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern, Fred Zinnemann",32729,120,28350000.0
Wednesday,2002,"Comedy,Family,Fantasy",Regular,8.8,Jenna Ortega,1161,60,36450000.0
